player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
182,"Nathaniel Clyne",Defender,31,1.66667,0,5.33333
183,"Conor Coady",Defender,29,5,0,17.25
185,"Séamus Coleman",Defender,33,2,0.25,16.75
186,"Nathan Collins",Defender,21,2,1,20
187,"Aaron Connolly",Forward,22,0,0,7.33333
189,"Liam Cooper",Defender,31,4.5,0.5,21
190,"Theo Corbeanu",Forward,20,0,0,0
191,"Jack Cork",Midfielder,33,3.25,0,28.75
192,"Maxwel Cornet",Forward,26,2,0,20
195,"Vladimír Coufal",Defender,30,3,0.5,29
199,"Charlie Cresswell",Defender,20,1,0,3
201,"Cristiano Ronaldo",Forward,37,8,0,16
202,"Cucho Hernández",Forward,23,3,0,13
203,"Marc Cucurella",Defender,24,6,0,28
206,"Luke Cundle",Midfielder,20,0,0,3
207,"Patrick Cutrone",Forward,24,0,0,2.5
210,"Patson Daka",Forward,24,2,0,17
213,"Stuart Dallas",Defender,31,6,0,36.5
215,"Daniel Podence",Midfielder,26,1.66667,0,9
217,"Scott Dann",Defender,35,0.666667,0,5
218,"Karl Darlow",Goalkeeper,32,2,0,0.5
219,"Josh Dasilva",Midfielder,23,0,1,4
220,"David Luiz",Defender,35,3,1,26.3333
221,"Tom Davies",Midfielder,24,3.75,0,20.25
222,"Keinan Davis",Forward,24,0,0,5.33333
223,"Craig Dawson",Defender,32,4.33333,0.666667,28
226,"Kevin De Bruyne",Midfielder,31,2,0,21
227,"David de Gea",Goalkeeper,31,0.75,0,0.25
228,"Troy Deeney",Forward,34,2.33333,0.333333,26.3333
229,"Liam Delap",Forward,19,0,0,1
230,"Fabian Delph",Midfielder,32,1.75,0.5,8.75
232,"Emmanuel Dennis",Forward,24,7,1,59
235,"Kiernan Dewsbury-Hall",Midfielder,24,4,0,20
236,"Amad Diallo",Forward,20,0,0,2
237,"Luis Díaz",Forward,25,0,0,14
241,"Eric Dier",Defender,28,3,0,15.6667
242,"Lucas Digne",Defender,29,4.33333,0.666667,38.3333
243,"Diogo Dalot",Defender,23,2.33333,0,10.3333
244,"Diogo Jota",Forward,25,5,0,37.5
245,"Issa Diop",Defender,25,3.75,0,15.5
247,"Moussa Djenepo",Midfielder,24,4,0.333333,20.3333
248,"Lewis Dobbin",Forward,19,1,0,1
250,"Matt Doherty",Defender,30,2,0.25,22.25
251,"Domingos Quina",Midfielder,22,0,0,4
252,"Abdoulaye Doucouré",Midfielder,29,7,0,37.25
253,"Douglas Luiz",Midfielder,24,7.66667,0.333333,49
254,"Kieran Dowell",Midfielder,25,0,0,19
255,"Tommy Doyle",Midfielder,20,0,0,0
256,"Cody Drameh",Defender,20,1,0,2
257,"Danny Drinkwater",Midfielder,32,1,0,8
259,"Josip Drmic",Forward,30,0,1,6
260,"Martin Dúbravka",Goalkeeper,33,0.5,0,0
261,"Shane Duffy",Defender,30,4.33333,0.333333,17
262,"Paul Dummett",Defender,31,1.75,0,6.75
263,"Lewis Dunk",Defender,30,5.25,1,18
264,"Jimmy Dunne",Defender,24,1,0,2
266,Ederson,Goalkeeper,29,2.75,0.25,1.5
267,"Odsonne Édouard",Forward,24,4,0,25
270,"Anwar El Ghazi",Forward,27,2.33333,0,15.3333
271,"Anthony Elanga",Forward,20,0,0,5
273,"Harvey Elliott",Midfielder,19,0,0,0.666667
274,"Mohamed Elyounoussi",Midfielder,28,2,0,19
275,Emerson,Defender,28,0.75,0,3.75
276,"Emerson Royal",Defender,23,5,0,28
277,"Björn Engels",Defender,28,1,0,5
278,"Christian Eriksen",Midfielder,30,3,0,10.3333
279,"Peter Etebo",Midfielder,26,3,0,8
280,"Jonny Evans",Defender,34,5,0.25,22.25
283,"Eberechi Eze",Midfielder,24,2,0,11.5
284,"Lukasz Fabianski",Goalkeeper,37,1.25,0,0.75
285,Fabinho,Midfielder,28,6.25,0,32.5
286,"Fábio Silva",Forward,20,1,0,16.5
288,"Akin Famewo",Defender,23,0,0,0
291,"Felipe Anderson",Midfielder,29,1.33333,0,14.6667
293,"Kiko Femenía",Defender,31,2.66667,0,16.6667
294,"Evan Ferguson",Forward,17,0,0,0
296,Fernandinho,Midfielder,37,4.75,0.5,25.5
299,"Junior Firpo",Defender,26,11,0,39
300,"William Fish",Defender,19,0,0,0
302,"Ashley Fletcher",Forward,27,0,0,1
305,"Phil Foden",Midfielder,22,0.25,0,10.75
306,"Wesley Fofana",Defender,21,4.5,0,22
308,"Pablo Fornals",Midfielder,26,3.33333,0,22.6667
309,"Adam Forshaw",Midfielder,31,5,0,26
310,"Marcus Forss",Forward,23,0,0,3
311,"Fraser Forster",Goalkeeper,34,0.333333,0,0.333333
312,"Ben Foster",Goalkeeper,39,0.666667,0,1.66667
313,"Tariqe Fosu-Henry",Midfielder,26,0,0,0
314,"Ryan Fraser",Midfielder,28,1.75,0.25,7.75
316,Fred,Midfielder,29,5,0,35.75
317,"Freddie Woodman",Goalkeeper,25,0,0,0
318,"Ryan Fredericks",Defender,30,3.75,0,12
319,"Christian Fuchs",Defender,36,1.33333,0,6.33333
