player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
838,"Finley Stevens",Defender,0,0,0,1
840,"Marco Stiepermann",Forward,6,0,22,1
842,"John Stones",Defender,1,1,21,4
845,"Pascal Struijk",Defender,9,1,51,2
846,"Isaac Success",Forward,5,0,26,2
848,"Crysencio Summerville",Midfielder,0,0,1,1
851,"Jacob Sørensen",Midfielder,0,0,7,1
853,"Japhet Tanganga",Defender,5,1,38,3
854,"Matt Targett",Defender,16,0,85,4
855,"James Tarkowski",Defender,35,0,141,4
856,"Percy Tau",Forward,0,0,0,1
857,"Neil Taylor",Defender,3,0,9,2
858,"Allan Tchaptchet",Defender,0,0,0,1
860,"Nathan Tella",Midfielder,4,0,33,3
861,Thiago,Midfielder,6,0,67,2
862,"Thiago Silva",Defender,5,1,25,2
864,"Dominic Thompson",Defender,0,0,1,1
865,"Youri Tielemans",Midfielder,13,0,111,4
866,"Kieran Tierney",Defender,6,0,27,3
867,"Tim Krul",Goalkeeper,5,0,1,2
869,"Takehiro Tomiyasu",Defender,2,0,16,1
870,"James Tomkins",Defender,14,0,40,4
872,"Fikayo Tomori",Defender,3,0,8,2
873,"Ivan Toney",Forward,8,0,50,1
874,"Tony Springett",Midfielder,1,0,1,1
875,"Lucas Torreira",Midfielder,14,1,62,2
876,"Ferran Torres",Forward,1,0,17,2
877,"Cenk Tosun",Forward,4,0,26,4
878,Toti,Defender,1,0,2,1
879,"Andros Townsend",Midfielder,4,0,57,4
881,"Bertrand Traoré",Forward,1,0,31,2
882,Trézéguet,Midfielder,2,1,74,3
883,Trincão,Forward,0,0,13,1
884,"Kieran Trippier",Defender,2,0,23,2
885,"William Troost-Ekong",Defender,3,0,13,1
886,"Leandro Trossard",Forward,4,0,65,3
889,"Tom Trybull",Midfielder,2,0,26,1
890,"Konstantinos Tsimikas",Defender,3,0,21,2
892,"Axel Tuanzebe",Defender,3,0,12,3
893,"Ozan Tufan",Midfielder,0,0,9,1
896,"Christos Tzolis",Forward,0,0,2,1
899,"Cengiz Ünder",Forward,0,0,1,1
902,"Yan Valery",Defender,4,1,38,4
903,"Patrick van Aanholt",Defender,5,0,32,3
904,"Donny van de Beek",Midfielder,2,0,14,2
906,"Virgil van Dijk",Defender,6,0,41,4
909,"Raphaël Varane",Defender,0,0,5,1
910,"Jamie Vardy",Forward,8,1,78,4
911,"Indiana Vassilev",Midfielder,0,0,0,1
912,"Joël Veltman",Defender,9,0,73,2
913,"Jannik Vestergaard",Defender,10,1,49,4
914,Vitinha,Midfielder,0,0,8,1
915,"Nikola Vlasic",Midfielder,0,0,8,1
916,"Jake Vokins",Defender,0,0,2,2
917,"Mario Vrancic",Midfielder,3,0,13,1
918,"Matej Vydra",Midfielder,2,0,23,4
919,"Theo Walcott",Forward,2,0,33,4
921,"Kyle Walker-Peters",Defender,11,0,71,4
924,"Aaron Wan-Bissaka",Defender,17,1,90,4
926,"Joel Ward",Defender,18,0,86,4
927,"James Ward-Prowse",Midfielder,21,1,146,4
928,"Ollie Watkins",Forward,9,1,80,2
